Hansen Global Forest Change - 2010-01-01T00:00:00,Biomass Uncertainty - Aboveground Biomass (mean),Biomass Belowground Biomass (mean),Biomass Uncertainty - Belowground Biomass (mean),Biomass Aboveground Biomass (mean)
2010,37.75353706,18.94813566,21.64263679,77.69775959
2011,58.2011892,24.12783027,28.90163347,103.72567
2012,56.98161505,24.49120347,29.30070966,105.4771819
2013,61.90843011,25.46187601,30.75480419,109.8515006
2014,59.15809998,25.53455111,29.92927566,110.5482136
2015,62.75982048,26.36523279,31.19623716,114.3433228
2016,64.56450229,27.45245894,31.92856576,119.5915051
2017,66.77640186,27.27970331,32.36938234,118.6460919
2018,72.05674244,28.02151509,33.62496457,121.9036024
2019,68.57945377,27.63478543,32.61096891,120.3122316
2020,71.67465181,28.2553664,33.48461822,123.0781093
2021,69.11576737,27.91778096,32.56543348,121.6552971
